lon,lat,CellID,grnt_Opn,grnt_Oth,grnt_Dec,grnt_Mxd,grnt_Evg,grnt_WP,nlcd_Opn,nlcd_Oth,nlcd_Dec,nlcd_Mxd,nlcd_Evg,el,rugg,temp,precip,seas,pop,homes,roads,pWP,Train
765082.2,4837978.2,3347,0,0,0.8432,0.0512,0.1008,0.0048,0.005432322,0,0.547306474,0.358080579,0.089180625,469.1203379,5.615148874,65.31369019,1363.5,360.2143555,65.66747814,12.01858429,265.50617,5.836577637,TRUE
765082.2,4839392.4,3348,0.0064,0.002,0.6752,0.076,0.238,0.0024,0,0.011968085,0.234485816,0.519503546,0.234042553,475.2850513,5.168204085,64.51666641,1372.5,360.1382599,12.80412487,1.912087007,594.4949182,7.216840199,TRUE
765082.2,4840806.6,3349,0.042,0.0196,0.7804,0.1424,0.0156,0,0.009506564,0.019465822,0.372114079,0.540063377,0.058850158,454.3842372,4.001186937,66.20714188,1362.5,360.8348694,12.69240479,2.39258309,2902.993649,7.152105025,TRUE
765082.2,4842220.8,3350,0.072,0.042,0.7204,0.1152,0.0156,0.0348,0.036215482,0.066545948,0.13218651,0.631507469,0.13354459,413.9735748,4.020925112,66.93571281,1311,361.3151016,13.25429883,3.586307243,3200.963873,8.506205674,TRUE
765082.2,4843635,3351,0.0156,0.0108,0.6388,0.2588,0.0684,0.0076,0.00769579,0.028972386,0.071072884,0.581711182,0.310547759,338.8725415,3.803248476,71.77797318,1067,363.0356522,17.33063262,5.677017139,3342.128256,11.4898144,TRUE
765082.2,4845049.2,3352,0.0252,0.0336,0.5396,0.2492,0.1368,0.0156,0.009506564,0.010864645,0.483023993,0.373019466,0.123585333,297.7531227,5.125747478,74.8380928,918,364.200531,16.52952201,1.363299214,1139.681768,14.86871888,TRUE
765082.2,4846463.4,3353,0.0196,0.0344,0.7332,0.1576,0.0432,0.012,9.05E-04,0.017202354,0.495699411,0.434585785,0.051607062,285.2598972,4.11897445,74.03690338,916,364.0815582,8.42635744,0.879043296,2231.039272,12.76776822,TRUE
765082.2,4847877.6,3354,0.0356,0.04,0.5112,0.3164,0.0968,0,0,0.041666667,0.366578014,0.511968085,0.079787234,263.8714072,4.038426543,75.63928604,927,364.8097916,73.42963354,0.528092618,3089.827565,16.68173759,TRUE
765082.2,4849291.8,3355,0.0576,0.0068,0.4856,0.3056,0.0692,0.0752,0.001810774,0.029877773,0.317790856,0.486645541,0.163875057,263.360868,4.198349033,75.8571434,972,365.1733856,89.59791582,0.483400866,6189.031706,17.713445,TRUE
765082.2,4850706,3356,0.4364,0.0356,0.2444,0.208,0.0208,0.0548,0.238569488,0.161158895,0.227704844,0.267994568,0.104572205,197.960382,2.259030754,79.9107151,908.75,366.7055359,1825.514958,5.829303038,13413.19643,26.28836578,TRUE
765082.2,4852120.2,3357,0.4328,0.302,0.096,0.0468,0.0352,0.0872,0.257582617,0.304662743,0.057492078,0.277048438,0.103214124,160.9365593,1.977308864,80.30476379,899.5,366.940506,657.5417044,3.751650147,8271.103197,29.42145767,TRUE
765082.2,4853534.4,3358,0.1752,0.0496,0.3784,0.274,0.0528,0.07,0.072430964,0.090991399,0.556360344,0.238116795,0.042100498,210.3989082,2.890281652,79.57202339,982.75,367.0021439,163.852448,0.983663982,5379.078733,24.8813943,TRUE
765082.2,4854948.6,3359,0.0104,0,0.3484,0.3284,0.1884,0.1244,0.012222725,0.003168855,0.416930738,0.393843368,0.173834314,322.2979905,4.685408596,73.48809814,1099.5,365.4034424,39.45784557,1.031577662,473.8569616,21.76595745,TRUE
765082.2,4856362.8,3360,0.0408,0.0332,0.3788,0.346,0.1308,0.0704,0.015070922,0.027925532,0.28501773,0.503546099,0.168439716,290.8887836,4.12938973,74.08749962,1043.5,365.8679352,40.18462439,1.332848076,3002.198361,18.78542327,TRUE
765082.2,4857777,3361,4.00E-04,0.0068,0.614,0.2684,0.0984,0.012,9.05E-04,0.001810774,0.722046175,0.204617474,0.07062019,342.5091842,5.05484065,71.60892868,1071.75,365.2890244,30.96249853,2.381730656,964.8077283,13.44499774,TRUE
765082.2,4859191.2,3362,0.0028,0,0.5564,0.312,0.1132,0.0156,0,0,0.521050249,0.435491172,0.043458579,397.2398799,4.292121641,66.67499924,1066.5,364.0201721,31.06183963,2.389372279,0,10.09280217,TRUE
765082.2,4860605.4,3363,0.0916,0.2112,0.3952,0.192,0.1,0.01,0.035762789,0.172928927,0.385242191,0.246265278,0.159800815,360.4248555,3.554440377,69.59702492,923.75,365.1648865,26.21374324,2.464135811,3323.085762,15.0488909,TRUE
