"cn","prev_plt_cn","state","county","fips","measyr","invyr","remper","plot_status_cd","lat","lon","elev","slope","aspect","nconds","max_condprop","reservcd","owncd","owngrpcd","fortypcd","stdage","stdszcd","dominant_species","dominant_conifer","dominant_hardwood","tpa","wp_tpa","conifer_tpa","ba","wp_ba","conifer_ba","qmd","netbdft","wp_netbdft","grosscuft","wp_grosscuft","netcuft","wp_netcuft","sward","wp_sward","conifer_sward","prop_conifer","prop_wp_conifer","LC"
171137537020004,145024695010661,23,29,23029,2014,2014,5,1,44.95066,-67.53303,152,0,0,1,1,0,46,40,127,77,2,241,241,0,804.33582,0,804.33582,100.679187,0,100.679187,4.790573,969.075031,0,1024.609818,0,909.935488,0,0.49864,0,0.49864,1,0,"Evergreen"
171137541020004,145024703010661,23,29,23029,2014,2014,5,1,45.44466,-67.69255,798,12,170,1,1,0,46,40,801,76,2,531,12,531,1940.851142,0,87.001374,120.499769,0,7.70775,3.373908,504.611394,0,1230.442614,0,1042.956914,0,1.01268,0,0.034378,0.0639648529118757,0,"Deciduous"
171138106020004,145023563010661,23,29,23029,2014,2014,6,1,45.20663,-67.71854,296,2,0,1,1,0,46,40,401,31,2,316,129,316,1877.921952,60.18046,369.32895,152.793377,31.086666,56.835126,3.862334,1866.452313,1866.452313,1492.789038,706.542492,1426.52641,675.302183,1.031747,0.128246,0.279655,0.371973753810023,0.546962207843086,"Mixed"
171138141020004,145023533010661,23,29,23029,2014,2014,5,1,45.02512,-67.47284,483,3,0,1,1,0,46,40,801,36,3,371,0,371,1571.522192,0,0,82.617689,0,0,3.104649,0,0,174.906912,0,160.261606,0,0.722109,0,0,0,NA,"Deciduous"
171137539020004,145024699010661,23,29,23029,2013,2014,4,1,45.10091,-67.89125,392,8,235,1,1,0,46,40,801,33,3,371,261,371,872.76247,0,317.915266,36.905706,0,9.915039,2.784422,0,0,367.367959,0,318.383376,0,0.290951,0,0.057835,0.268658700093693,0,"Mixed"
171138137020004,145023525010661,23,29,23029,2014,2014,5,1,45.13732,-67.20386,196,0,0,1,1,0,46,40,809,90,2,316,241,316,1715.955296,0,1439.645766,124.972834,0,73.819462,3.65419,2013.351889,0,1586.718171,0,1391.827669,0,0.722517,0,0.380653,0.590684068187171,0,"Mixed"
171137897020004,145023543010661,23,29,23029,2014,2014,5,1,44.50905,-67.71106,86,0,0,1,1,0,46,40,124,65,2,12,12,375,1251.378782,0,798.317774,96.899987,0,73.23224,3.767938,1277.909518,0,1523.605231,0,1421.220311,0,0.549873,0,0.368592,0.755750772185346,0,"Evergreen"
171137491020004,145024783010661,23,29,23029,2014,2014,5,1,44.97382,-67.71196,344,15,286,1,1,0,46,40,121,61,3,12,12,375,3191.188752,93.01942,2486.410984,188.051687,8.470047,159.620558,3.286992,1363.840108,0,918.857157,38.707223,857.748359,35.302399,1.176217,0.049418,0.926669,0.848812156627981,0.0530636348232788,"Evergreen"
171137882020004,145023577010661,23,29,23029,2014,2014,5,1,44.76173,-67.88135,276,-9999,-9999,2,0.75,-9999,-9999,-9999,-9999,-9999,-9999,97,97,0,6.018046,0,6.018046,1.386787,0,1.386787,6.5,0,0,19.06538,0,18.874729,0,0.007324,0,0.007324,1,0,"Evergreen"
171138099020004,145023549010661,23,29,23029,2014,2014,5,1,45.41226,-67.54035,461,0,0,1,1,0,46,40,801,47,3,371,261,371,198.074932,0,93.01942,18.199937,0,6.644256,4.104464,0,0,319.061844,0,260.015708,0,0.11571,0,0.042222,0.365070274693808,0,"Mixed"
